31/08/2021 09:38:04 [WARNI]  CLAIMS_TERRA: LẤY DANH SÁCH HỒ SƠ - VPĐD HANKYU HANSHIN PROPERTIES CORP. TẠI TP HỒ CHÍ MINH
31/08/2021 09:38:04 [WARNI]  EMPLOYEE_TERRA: LẤY THÔNG TIN NHÂN VIÊN - Phạm Nguyễn Tường Vy
31/08/2021 09:38:05 [WARNI]  Số lượng hồ sơ cần quét kết quả: 11
31/08/2021 09:38:35 [WARNI]  LOGIN_BHXH: THÀNH CÔNG
31/08/2021 09:40:33 [WARNI]  HỒ SƠ LƯU TẠM 30/08/2021 15:01 CHƯA CẬP NHẬT
31/08/2021 09:40:36 [WARNI]  CHẠY QUY TRÌNH KÊ KHAI
31/08/2021 09:40:36 [WARNI]  LOGIN_TERRA: LẤY ACCESS TOKEN THÀNH CÔNG
31/08/2021 09:40:37 [WARNI]  CLIENT_TERRA: LẤY DANH SÁCH KHÁCH HÀNG THÀNH CÔNG
31/08/2021 09:40:37 [WARNI]  CLAIMS_TERRA: LẤY DANH SÁCH HỒ SƠ - ABC COMPANY LIMITED
31/08/2021 09:40:37 [WARNI]  Số lượng hồ sơ cần kê khai: 0
31/08/2021 09:40:37 [WARNI]  CLAIMS_TERRA: LẤY DANH SÁCH HỒ SƠ - ABC COMPANY LIMITED
31/08/2021 09:40:37 [WARNI]  Số lượng hồ sơ cần kê khai: 0
31/08/2021 09:40:38 [WARNI]  CLAIMS_TERRA: LẤY DANH SÁCH HỒ SƠ - VPĐD HANKYU HANSHIN PROPERTIES CORP. TẠI TP HỒ CHÍ MINH
31/08/2021 09:40:38 [WARNI]  EMPLOYEE_TERRA: LẤY THÔNG TIN NHÂN VIÊN - Phạm Nguyễn Tường Vy
31/08/2021 09:40:38 [WARNI]  Số lượng hồ sơ cần kê khai: 1
31/08/2021 09:41:01 [WARNI]  LOGIN_BHXH: THÀNH CÔNG
31/08/2021 09:41:54 [WARNI]  Message: no such element: Unable to locate element: {"method":"xpath","selector":"//*[@class="mat-expansion-panel-content ng-trigger ng-trigger-bodyExpansion mat-expanded"]/div/div/table/tbody/tr[3]/td[11]/bhxh-input/div/div/div/div/mat-form-field/div/div[1]/div[1]/mat-select"}
  (Session info: chrome=92.0.4515.159)

31/08/2021 09:41:54 [ERROR]  HỒ SƠ BỊ LỖI
31/08/2021 09:41:56 [WARNI]  CHẠY QUY TRÌNH QUÉT KẾT QUẢ
31/08/2021 09:41:57 [WARNI]  LOGIN_TERRA: LẤY ACCESS TOKEN THÀNH CÔNG
31/08/2021 09:41:57 [WARNI]  CLIENT_TERRA: LẤY DANH SÁCH KHÁCH HÀNG THÀNH CÔNG
31/08/2021 09:41:57 [WARNI]  CLAIMS_TERRA: LẤY DANH SÁCH HỒ SƠ - ABC COMPANY LIMITED
31/08/2021 09:41:57 [WARNI]  Số lượng hồ sơ cần quét kết quả: 0
31/08/2021 09:41:58 [WARNI]  CLAIMS_TERRA: LẤY DANH SÁCH HỒ SƠ - ABC COMPANY LIMITED
31/08/2021 09:41:58 [WARNI]  Số lượng hồ sơ cần quét kết quả: 0
31/08/2021 09:41:58 [WARNI]  CLAIMS_TERRA: LẤY DANH SÁCH HỒ SƠ - VPĐD HANKYU HANSHIN PROPERTIES CORP. TẠI TP HỒ CHÍ MINH
31/08/2021 09:41:58 [WARNI]  EMPLOYEE_TERRA: LẤY THÔNG TIN NHÂN VIÊN - Phạm Nguyễn Tường Vy
31/08/2021 09:41:59 [WARNI]  Số lượng hồ sơ cần quét kết quả: 11
31/08/2021 09:42:32 [WARNI]  LOGIN_BHXH: THÀNH CÔNG
31/08/2021 09:42:49 [WARNI]  BẮT ĐẦU CHẠY
31/08/2021 09:42:49 [WARNI]  CHẠY QUY TRÌNH KÊ KHAI
31/08/2021 09:42:49 [WARNI]  BACKUP
31/08/2021 09:42:50 [WARNI]  LOGIN_TERRA: LẤY ACCESS TOKEN THÀNH CÔNG
31/08/2021 09:42:50 [WARNI]  CLIENT_TERRA: LẤY DANH SÁCH KHÁCH HÀNG THÀNH CÔNG
31/08/2021 09:42:50 [WARNI]  CLAIMS_TERRA: LẤY DANH SÁCH HỒ SƠ - ABC COMPANY LIMITED
